FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;FIELD_TAMBAHAN_1;FIELD_TAMBAHAN_2;FIELD_TAMBAHAN_3;FIELD_TAMBAHAN_4;FIELD_TAMBAHAN_5
FM;03;1;0031878063934;07;2018;04/07/2018;024050767511000;PT SAMUDERA PERDANA SELARAS;SEMARANG INDAH BLOK D.XI NO 2A TAWANG MAS SEMARANG;118040817;11804081;0;1;013;013;;;
FM;03;1;0021853031487;07;2018;06/07/2018;014680458609000;PT RIS PUTRA DELTA;Jl. Gayung Kebonsari Graha Indah Wisesa B - 6 No 44 A SURABAYA;512079100;51207910;0;1;015;015;;;
FM;03;1;0021838517087;07;2018;31/07/2018;028172260613000;PT NILAM PORT TERMINAL INDONESIA;PERAK TIMUR NO 118 RT 001 RW 005 SURABAYA;2700443655;270044366;0;1;015;015;;;
FM;03;0;0041877263518;07;2018;16/07/2018;028249795604000;PT GLOBAL PANCA SAKTI;JL SIMOMULYO BARU III BLOK 07-J/15-16 RT 010 RW 004 SIMOMULYO SURABAYA;20025900;2002590;0;1;015;015;;;
FM;03;0;0021898896308;07;2018;10/07/2018;313305906517000;CV REJEKI SELARAS;JL KEPODANG SELATAN I BLOK A-5 RT 1 RW 14 PUDAKPAYUNG KOTA SEMARANG;1500000;150000;0;0;013;013;;;
FM;03;1;0031851733229;07;2018;04/06/2018;010824472522000;MUTIARA SAMUDRA;JL. URIP SUMOHARJO NO.49, MERTASINGA, CILACAP;693622000;69362200;0;1;014;014;;;
FM;03;0;0041876372156;07;2018;31/07/2018;744936618613000;PT BERKAH INDUSTRI MESIN ANGKAT;JL PERAK BARAT NO 379 RT 002 RW 003 PERAK UTARA SURABAYA;57779342;5777934;0;1;015;015;;;
FM;03;0;0041832906438;07;2018;23/07/2018;316565373522000;KOP TENAGA KERJA BONGKAT MUAT PELABUHAN CILACAP;JL. SELAT MADURA NO. 53, TAMBAKREJA, CILACAP;128034281;12803428;0;1;014;014;;;
FM;03;0;0041843241159;07;2018;20/07/2018;762591535504000;PT BERKAH MULTI CARGO;JL PRAPAT KURUNG UTARA NO 58 RT 003 RW 010 SURABAYA;3654000;365400;0;1;015;015;;;
FM;03;0;0041832906434;07;2018;16/07/2018;316565373522000;KOP TENAGA KERJA BONGKAT MUAT PELABUHAN CILACAP;JL. SELAT MADURA NO. 53, TAMBAKREJA, CILACAP;131390156;13139015;0;1;014;014;;;
